channel,start_position,group1,group2,p_value,reject
019,31,Control,Cue 12,0.1015,False
019,31,Control,Cue 13,0.5265,False
019,31,Control,Cue 14,0.0522,False
019,31,Control,Cue 15,0.9693,False
019,31,Control,Cue 16,0.0881,False
019,31,Cue 12,Cue 13,0.982,False
019,31,Cue 12,Cue 14,1.0,False
019,31,Cue 12,Cue 15,0.9109,False
019,31,Cue 12,Cue 16,1.0,False
019,31,Cue 13,Cue 14,0.9562,False
019,31,Cue 13,Cue 15,0.9979,False
019,31,Cue 13,Cue 16,0.9939,False
019,31,Cue 14,Cue 15,0.8582,False
019,31,Cue 14,Cue 16,0.9992,False
019,31,Cue 15,Cue 16,0.9441,False
019,32,Control,Cue 11,0.7758,False
019,32,Control,Cue 13,0.5367,False
019,32,Control,Cue 14,0.0005,True
019,32,Control,Cue 15,0.8477,False
019,32,Control,Cue 16,1.0,False
019,32,Cue 11,Cue 13,0.1809,False
019,32,Cue 11,Cue 14,0.0003,True
019,32,Cue 11,Cue 15,0.3849,False
019,32,Cue 11,Cue 16,0.9449,False
019,32,Cue 13,Cue 14,0.4899,False
019,32,Cue 13,Cue 15,0.9978,False
019,32,Cue 13,Cue 16,0.8199,False
019,32,Cue 14,Cue 15,0.2103,False
019,32,Cue 14,Cue 16,0.0418,True
019,32,Cue 15,Cue 16,0.9598,False
023,32,Control,Cue 11,0.0199,True
023,32,Control,Cue 13,0.9959,False
023,32,Control,Cue 14,0.3753,False
023,32,Control,Cue 15,0.0108,True
023,32,Control,Cue 16,0.6602,False
023,32,Cue 11,Cue 13,0.3933,False
023,32,Cue 11,Cue 14,0.9346,False
023,32,Cue 11,Cue 15,0.9988,False
023,32,Cue 11,Cue 16,0.9388,False
023,32,Cue 13,Cue 14,0.9084,False
023,32,Cue 13,Cue 15,0.2487,False
023,32,Cue 13,Cue 16,0.9616,False
023,32,Cue 14,Cue 15,0.797,False
023,32,Cue 14,Cue 16,1.0,False
023,32,Cue 15,Cue 16,0.8205,False
029,33,Control,Cue 11,0.5401,False
029,33,Control,Cue 12,0.4181,False
029,33,Control,Cue 14,0.0039,True
029,33,Control,Cue 15,0.6865,False
029,33,Control,Cue 16,0.4053,False
029,33,Cue 11,Cue 12,0.9996,False
029,33,Cue 11,Cue 14,0.5308,False
029,33,Cue 11,Cue 15,1.0,False
029,33,Cue 11,Cue 16,0.9995,False
029,33,Cue 12,Cue 14,0.7936,False
029,33,Cue 12,Cue 15,0.9995,False
029,33,Cue 12,Cue 16,1.0,False
029,33,Cue 14,Cue 15,0.5902,False
029,33,Cue 14,Cue 16,0.8025,False
029,33,Cue 15,Cue 16,0.9994,False
030,31,Control,Cue 12,0.2439,False
030,31,Control,Cue 13,0.824,False
030,31,Control,Cue 14,0.0037,True
030,31,Control,Cue 15,0.7387,False
030,31,Control,Cue 16,0.0024,True
030,31,Cue 12,Cue 13,0.9742,False
030,31,Cue 12,Cue 14,0.8695,False
030,31,Cue 12,Cue 15,0.9999,False
030,31,Cue 12,Cue 16,0.91,False
030,31,Cue 13,Cue 14,0.4091,False
030,31,Cue 13,Cue 15,0.9989,False
030,31,Cue 13,Cue 16,0.4496,False
030,31,Cue 14,Cue 15,0.842,False
030,31,Cue 14,Cue 16,1.0,False
030,31,Cue 15,Cue 16,0.8824,False
030,33,Control,Cue 11,0.0692,False
030,33,Control,Cue 12,0.6398,False
030,33,Control,Cue 14,0.0002,True
030,33,Control,Cue 15,0.9951,False
030,33,Control,Cue 16,0.3196,False
030,33,Cue 11,Cue 12,0.9742,False
030,33,Cue 11,Cue 14,0.6261,False
030,33,Cue 11,Cue 15,0.1468,False
030,33,Cue 11,Cue 16,0.9994,False
030,33,Cue 12,Cue 14,0.2519,False
030,33,Cue 12,Cue 15,0.6093,False
030,33,Cue 12,Cue 16,0.9987,False
030,33,Cue 14,Cue 15,0.0027,True
030,33,Cue 14,Cue 16,0.4844,False
030,33,Cue 15,Cue 16,0.3597,False
045,35,Control,Cue 11,0.9999,False
045,35,Control,Cue 12,0.3591,False
045,35,Control,Cue 13,0.0025,True
045,35,Control,Cue 14,1.0,False
045,35,Control,Cue 16,0.566,False
045,35,Cue 11,Cue 12,0.7598,False
045,35,Cue 11,Cue 13,0.0785,False
045,35,Cue 11,Cue 14,1.0,False
045,35,Cue 11,Cue 16,0.8511,False
045,35,Cue 12,Cue 13,0.7499,False
045,35,Cue 12,Cue 14,0.8183,False
045,35,Cue 12,Cue 16,1.0,False
045,35,Cue 13,Cue 14,0.169,False
045,35,Cue 13,Cue 16,0.773,False
045,35,Cue 14,Cue 16,0.8796,False
