channel,start_position,mean_left,sem_left,mean_right,sem_right
019,31,14.834210833423802,0.5427993817715718,15.060210194084204,0.36749742239605415
019,32,14.615475300694914,0.48850058556894876,13.775989850777378,0.4106044794812467
019,33,13.814723732604108,0.6170451577848277,15.103944695770181,0.31213025910715225
019,34,13.950909401926316,0.6288045724630543,14.735297612418194,0.36602949698845716
019,35,14.47157684591935,0.3277837272918477,13.07395657697024,0.5797942891969166
019,36,15.159941151432648,0.3485807297295644,14.485663001651668,0.47855535680685135
023,31,23.735438278407585,0.4053965798031209,23.84626525306551,0.21017612829941473
023,32,23.99529808312286,0.3156875228476736,23.84761291179623,0.37278241093915726
023,33,22.880138638017854,0.3706835552111413,23.63630174439585,0.23258578032152158
023,34,23.29380703970888,0.2552892808862022,23.907046374827722,0.22173352639321353
023,35,24.29213610596512,0.2239216584244715,23.73408746053934,0.3428803529832637
023,36,23.734745352671933,0.3096482994140899,23.45230038406427,0.3992256506572709
029,31,13.581043756643755,0.586061437301723,14.218146523089978,0.3353376227392122
029,32,13.98216703561843,0.4482250716870857,13.66586081513919,0.38402850235220115
029,33,13.295089898167138,0.5382765917766533,14.635803639459281,0.3071847191886832
029,34,13.7977443158154,0.6587991161429836,14.11810334011073,0.3465062296854012
029,35,13.479454165698192,0.3321463717672004,13.341205722083338,0.5123881811809416
029,36,14.408531750688558,0.39865544541461834,14.17617793157279,0.4477418216869769
030,31,15.667921130788267,0.48755327929902964,16.12961372628052,0.34880264130118593
030,32,16.051301106717315,0.39310106003310213,16.102773640620246,0.47054069964004297
030,33,15.764704790266105,0.6777538842196068,16.560701409183945,0.34170553558689215
030,34,14.769762210516669,0.9159493031979709,15.90704270569842,0.3722323834682153
030,35,16.144924789802758,0.3352463334746957,15.599534546614635,0.4011147871785221
030,36,16.897713027632395,0.37312471165877015,16.00278835063067,0.46652622815997596
043,31,20.92142690095865,0.6446992231620582,20.395566078645597,0.3401961253020918
043,32,19.834788009293227,0.5198761026612075,20.200088199856946,0.39098783818452054
043,33,19.11338390467835,0.6397732986197032,20.019758230976063,0.37124943507842745
043,34,19.49699898789461,0.7395061259478368,19.706293144343444,0.42197929871815404
043,35,19.1996427398709,0.4230076201402653,18.808233559559536,0.5162547902401335
043,36,19.468669091921367,0.38568598144591737,19.487545652724723,0.4741430980127121
045,31,15.660110590784651,0.5662283615829475,15.000211513925617,0.32648405517030976
045,32,14.081193159094756,0.38639982328898503,15.313083156181694,0.4403654512478737
045,33,14.806268807948651,0.797184107289985,14.6815796165017,0.2965716910481895
045,34,15.442841081057571,0.6382757203943675,14.929923582444639,0.3752137827430187
045,35,14.214742834049577,0.41972527250442027,14.448972209895022,0.4460335154692327
045,36,15.297374253435668,0.3364413883572051,14.298731226959802,0.46474506976951363
