channel,start_position,t_stat,p_ttest
019,31,-0.3447718895554564,0.7328115638746355
019,32,-1.4715886133452811,0.15586541478167487
019,33,-1.8643875084631227,0.07497282160644494
019,34,-1.078078172415925,0.29431198253099683
019,35,2.0984163645533975,0.04234090647203373
019,36,1.1388862742975114,0.2599234411653508
023,31,-0.24270080225846025,0.810470358051019
023,32,0.9653806271509334,0.3443293313711786
023,33,-1.7279386718448477,0.09508770970364805
023,34,-1.8135686458685223,0.07964731622456697
023,35,1.362684664178454,0.17992856825686424
023,36,0.5590359629242209,0.5784152131960688
029,31,-0.9435512368272929,0.35478369976335977
029,32,-1.6880013797705327,0.1048625514669782
029,33,-2.1632741761532306,0.040071088032186654
029,34,-0.4303775521835883,0.672129501748673
029,35,0.22640482980739235,0.8219431536663042
029,36,0.3875800742663797,0.6997100179219387
030,31,-0.770160257044355,0.4472085795488221
030,32,-1.8898248235675454,0.06882233681892923
030,33,-1.0487147714077292,0.3051411239076979
030,34,-1.1502831252355432,0.26821358495446346
030,35,1.0432800812295309,0.30153186249635267
030,36,1.4980703566775626,0.13974112616364595
043,31,0.7213932916410766,0.4781100969804183
043,32,-0.38062115426135046,0.7070162178282173
043,33,-1.2253494020234057,0.23146885718992105
043,34,-0.24581439828310891,0.8084726520913044
043,35,0.5864477902565062,0.5600885471501651
043,36,-0.03088442896652819,0.9754705483473485
045,31,1.0096216337011332,0.32266125748085417
045,32,-2.426469963358694,0.021411535821773672
045,33,0.14659608307851063,0.8849692565944516
045,34,0.692764167440354,0.4966495137418627
045,35,-0.3824362307037828,0.7035465175320887
045,36,1.740576171079717,0.08764515335047694
